dur,spkts,dpkts,sbytes,dbytes,rate,proto,state,attack_cat,label,label_binary
0.0001,18.0,12.0,524.7262088129116,1370.1950672302287,300000.0,17,CON,Normal,Normal,Benign
3.2524651466944583,0.0,17.0,902.5090173214892,374.0521569635423,5.226804664541116,6,CON,Normal,Normal,Benign
1.4115056194891198,25.0,6.0,3324.8349479310164,690.6550404219483,21.96236385599381,6,FIN,Exploits,Attack,Attack
0.0001,0.0,0.0,687.2532372800919,1261.069854341216,0.0,6,FIN,Normal,Normal,Benign
2.0202723182463433,27.0,14.0,740.4919227815258,155.72134629854753,20.294293808662996,6,FIN,Normal,Normal,Benign
0.0001,10.0,10.0,875.9686939831727,764.1401495806927,200000.0,17,FIN,Normal,Normal,Benign
0.8923623210857372,8.0,9.0,1010.4648732959548,1113.7038817973387,19.050557826462352,17,INT,Analysis,Attack,Attack
0.0001,611.0,3.0,28913.1414692526,152.90320901861762,6140000.0,17,INT,DoS,Attack,Attack
0.0001,10.0,16.0,796.1038762899776,0.0001,260000.0,6,CON,Normal,Normal,Benign
2.4895581404099625,15.0,9.0,1207.06386277348,749.1517104450903,9.640264917069924,6,FIN,Normal,Normal,Benign
3.2595294562547115,7.0,5.0,811.6945109253509,654.4797731305922,3.6815129794189154,6,CON,Normal,Normal,Benign
2.6077526405576634,4.0,20.0,453.21845660496626,855.0302525251885,9.203326890263503,6,CON,Normal,Normal,Benign
4.826295253489079,30.0,7.0,1450.5528238313502,709.8441920996285,7.666335782762472,17,CON,Normal,Normal,Benign
0.20863155419922086,23.0,0.0,548.1649132609004,2072.2009560069537,110.24219269362032,1,FIN,Exploits,Attack,Attack
0.7260748053891358,10.0,19.0,179.3968644885016,626.430298677498,39.940788173275905,6,CON,Normal,Normal,Benign
0.09522756996242421,20.0,21.0,2720.7928284482805,2560.432442933495,430.5475821359105,6,FIN,Exploits,Attack,Attack
3.289855382898498,0.0,8.0,0.0001,1107.834337619041,2.4317178322141535,6,CON,Normal,Normal,Benign
0.6053903859970601,8.0,1.0,703.4716312891364,879.6375835476077,14.866440247770479,6,REQ,Normal,Normal,Benign
2.449394176926404,0.0,23.0,1391.4444327553952,440.4020904585533,9.39007703074615,17,CON,Normal,Normal,Benign
3.1121597825612355,3.0,18.0,82.45023213805848,526.9071466302098,6.747725524143071,6,FIN,Normal,Normal,Benign
0.08201359712799375,2.0,1.0,85.27994211271736,16.55161521334692,36.579300324043565,17,INT,Generic,Attack,Attack
1.2133321958888428,6.0,26.0,679.4490816904292,1310.26029317566,26.373651097717694,6,CON,Normal,Normal,Benign
6.84352675951337,6.0,11.0,401.2589737471219,1035.1657949900023,2.484099295201534,6,REQ,Normal,Normal,Benign
1.3700380380190418,17.0,16.0,1373.3934814533186,652.1171995471597,24.086922468017885,6,INT,Normal,Normal,Benign
2.1925440404771304,20.0,13.0,219.10359911061238,934.8129491276886,15.051008960722498,6,INT,Normal,Normal,Benign
0.0001,14.0,21.0,854.1961523026793,606.9383444003726,350000.0,1,CON,Normal,Normal,Benign
0.0001,11.0,7.0,1061.1838538005718,603.809180459886,180000.0,6,REQ,Normal,Normal,Benign
0.1278815036409418,2.0,0.0,138.51043953840014,60.42232198029625,15.63947829089876,6,FIN,Generic,Attack,Attack
0.02395185026413038,0.0,0.0,247.03027412765852,94.51093043765864,0.0,6,CON,Generic,Attack,Attack
3.669853071987766,11.0,8.0,71.09273232586452,684.2201469243461,5.1773189899694545,6,CON,Normal,Normal,Benign
